npt,ijgcm,iYrCnt,idoy,iveg,tsoilavg,moistavg,casapool%Cplant(LEAF),casapool%Cplant(WOOD),casapool%Cplant(FROOT),casapool%Nplant(LEAF),casapool%Nplant(WOOD),casapool%Nplant(FROOT),casapool%Clitter(MET),casapool%Clitter(STR),casapool%Clitter(CWD),casapool%Nlitter(MET),casapool%Nlitter(STR),casapool%Nlitter(CWD),casapool%Csoil(MIC),casapool%Csoil(SLOW),casapool%Csoil(PASS),casapool%Nsoil(MIC),casapool%Nsoil(SLOW),casapool%Nsoil(PASS),casaflux%Crsoil,cleaf2met,cleaf2str,croot2met,croot2str,cwd2str,cwd2co2,cwood2cwd,casaflux%cgpp,casaflux%cnpp,casaflux%crmplant(LEAF),casaflux%crmplant(WOOD),casaflux%crmplant(FROOT),casaflux%crgplant,phen%phase,casaflux%fracCalloc(LEAF),casaflux%fracCalloc(WOOD),casaflux%fracCalloc(FROOT),casapool%fT,casapool%fW
     1,     1,    11,   365,    10,   274.09531,     0.10330,    31.04317,     0.00000,   592.86936,     0.62086,     0.00000,    14.46023,    28.57245,    50.91091,     0.00000,     0.47621,     0.33941,     0.00000,    22.00000,   326.00000,   551.00000,     2.75000,    24.88550,    42.06107,     0.00000,     0.06158,     0.05245,     0.32148,     0.22057,     0.00000,     0.00000,     0.00000,     0.00000,    -0.13715,     0.00000,     0.00000,     0.13715,     0.00000,     0.00000,     0.00000,     0.00000,     1.00000,     0.00000,     0.00000,
     1,     1,    12,   365,    10,   273.42198,     0.06285,    61.13983,     0.00000,   597.13658,     1.22280,     0.00000,    14.56431,    28.57245,    50.91091,     0.00000,     0.47621,     0.33941,     0.00000,    22.00000,   326.00000,   551.00000,     2.75000,    24.88550,    42.06107,     0.00000,     0.12515,     0.10661,     0.32379,     0.22215,     0.00000,     0.00000,     0.00000,     0.00000,    -0.12554,     0.00000,     0.00000,     0.12554,     0.00000,     0.00000,     0.00000,     0.00000,     1.00000,     0.00000,     0.00000,
     1,     1,    13,   365,    10,   272.82936,     0.08518,    27.06193,     0.00000,   419.44341,     0.54124,     0.00000,    10.23033,    28.57245,    50.91091,     0.00000,     0.47621,     0.33941,     0.00000,    22.00000,   326.00000,   551.00000,     2.75000,    24.88550,    42.06107,     0.00000,     0.05426,     0.04622,     0.22743,     0.15604,     0.00000,     0.00000,     0.00000,     0.00000,    -0.08088,     0.00000,     0.00000,     0.08088,     0.00000,     0.00000,     0.00000,     0.00000,     1.00000,     0.00000,     0.00000,
     1,     1,    14,   365,    10,   272.45492,     0.07730,    47.38586,     0.00000,   492.00514,     0.94772,     0.00000,    12.00013,    28.57245,    50.91091,     0.00000,     0.47621,     0.33941,     0.00000,    22.00000,   326.00000,   551.00000,     2.75000,    24.88550,    42.06107,     0.00000,     0.09560,     0.08144,     0.26678,     0.18304,     0.00000,     0.00000,     0.00000,     0.00000,    -0.08973,     0.00000,     0.00000,     0.08973,     0.00000,     0.00000,     0.00000,     0.00000,     1.00000,     0.00000,     0.00000,
     1,     1,    15,   365,    10,   274.33112,     0.06899,    51.26899,     0.00000,   513.38786,     1.02538,     0.00000,    12.52166,    28.57245,    50.91091,     0.00000,     0.47621,     0.33941,     0.00000,    22.00000,   326.00000,   551.00000,     2.75000,    24.88550,    42.06107,     0.00000,     0.08897,     0.07579,     0.27839,     0.19100,     0.00000,     0.00000,     0.00000,     0.00000,    -0.12273,     0.00000,     0.00000,     0.12273,     0.00000,     0.00000,     0.00000,     0.00000,     1.00000,     0.00000,     0.00000,
     1,     1,    16,   365,    10,   271.24690,     0.05498,    32.89024,     0.00000,   413.32763,     0.65780,     0.00000,    10.08116,    28.57245,    50.91091,     0.00000,     0.47621,     0.33941,     0.00000,    22.00000,   326.00000,   551.00000,     2.75000,    24.88550,    42.06107,     0.00000,     0.06797,     0.05790,     0.22411,     0.15376,     0.00000,     0.00000,     0.00000,     0.00000,    -0.06256,     0.00000,     0.00000,     0.06256,     0.00000,     0.00000,     0.00000,     0.00000,     1.00000,     0.00000,     0.00000,
     1,     1,    17,   365,    10,   275.27116,     0.04844,    29.25263,     0.00000,   332.08087,     0.58505,     0.00000,     8.09953,    28.57245,    50.91091,     0.00000,     0.47621,     0.33941,     0.00000,    22.00000,   326.00000,   551.00000,     2.75000,    24.88550,    42.06107,     0.00000,     0.06100,     0.05196,     0.18008,     0.12355,     0.00000,     0.00000,     0.00000,     0.00000,    -0.09020,     0.00000,     0.00000,     0.09020,     0.00000,     0.00000,     0.00000,     0.00000,     1.00000,     0.00000,     0.00000,
     1,     1,    18,   365,    10,   275.06269,     0.05861,    37.00589,     0.00000,   413.31458,     0.74012,     0.00000,    10.08084,    28.57245,    50.91091,     0.00000,     0.47621,     0.33941,     0.00000,    22.00000,   326.00000,   551.00000,     2.75000,    24.88550,    42.06107,     0.00000,     0.07613,     0.06485,     0.22413,     0.15377,     0.00000,     0.00000,     0.00000,     0.00000,    -0.10917,     0.00000,     0.00000,     0.10917,     0.00000,     0.00000,     0.00000,     0.00000,     1.00000,     0.00000,     0.00000,
     1,     1,    19,   365,    10,   274.10621,     0.07849,    61.19430,     0.00000,   622.51057,     1.22389,     0.00000,    15.18318,    28.57245,    50.91091,     0.00000,     0.47621,     0.33941,     0.00000,    22.00000,   326.00000,   551.00000,     2.75000,    24.88550,    42.06107,     0.00000,     0.12333,     0.10506,     0.33756,     0.23160,     0.00000,     0.00000,     0.00000,     0.00000,    -0.14423,     0.00000,     0.00000,     0.14423,     0.00000,     0.00000,     0.00000,     0.00000,     1.00000,     0.00000,     0.00000,
     1,     1,    20,   365,    10,   274.55937,     0.05650,    43.42115,     0.00000,   524.27487,     0.86842,     0.00000,    12.78719,    28.57245,    50.91091,     0.00000,     0.47621,     0.33941,     0.00000,    22.00000,   326.00000,   551.00000,     2.75000,    24.88550,    42.06107,     0.00000,     0.08956,     0.07629,     0.28429,     0.19505,     0.00000,     0.00000,     0.00000,     0.00000,    -0.12934,     0.00000,     0.00000,     0.12934,     0.00000,     0.00000,     0.00000,     0.00000,     1.00000,     0.00000,     0.00000,
     1,     1,    21,   365,    10,   272.79142,     0.09428,    68.31931,     0.00000,   719.70189,     1.36639,     0.00000,    17.55370,    28.57245,    50.91091,     0.00000,     0.47621,     0.33941,     0.00000,    22.00000,   326.00000,   551.00000,     2.75000,    24.88550,    42.06107,     0.00000,     0.13615,     0.11598,     0.39024,     0.26775,     0.00000,     0.00000,     0.00000,     0.00000,    -0.13800,     0.00000,     0.00000,     0.13800,     0.00000,     0.00000,     0.00000,     0.00000,     1.00000,     0.00000,     0.00000,
     1,     1,    22,   365,    10,   271.87416,     0.13807,    64.81489,     0.00000,   694.39194,     1.29630,     0.00000,    16.93639,    28.57245,    50.91091,     0.00000,     0.47621,     0.33941,     0.00000,    22.00000,   326.00000,   551.00000,     2.75000,    24.88550,    42.06107,     0.00000,     0.12740,     0.10853,     0.37651,     0.25832,     0.00000,     0.00000,     0.00000,     0.00000,    -0.11592,     0.00000,     0.00000,     0.11592,     0.00000,     0.00000,     0.00000,     0.00000,     1.00000,     0.00000,     0.00000,
     1,     1,    23,   365,    10,   271.58989,     0.05646,    66.81415,     0.00000,   659.83296,     1.33628,     0.00000,    16.09349,    28.57245,    50.91091,     0.00000,     0.47621,     0.33941,     0.00000,    22.00000,   326.00000,   551.00000,     2.75000,    24.88550,    42.06107,     0.00000,     0.13782,     0.11740,     0.35777,     0.24547,     0.00000,     0.00000,     0.00000,     0.00000,    -0.10540,     0.00000,     0.00000,     0.10540,     0.00000,     0.00000,     0.00000,     0.00000,     1.00000,     0.00000,     0.00000,
     1,     1,    24,   365,    10,   271.23936,     0.09417,    69.03089,     0.00000,   879.70471,     1.38062,     0.00000,    21.45621,    28.57245,    50.91091,     0.00000,     0.47621,     0.33941,     0.00000,    22.00000,   326.00000,   551.00000,     2.75000,    24.88550,    42.06107,     0.00000,     0.13758,     0.11720,     0.47698,     0.32726,     0.00000,     0.00000,     0.00000,     0.00000,    -0.13298,     0.00000,     0.00000,     0.13298,     0.00000,     0.00000,     0.00000,     0.00000,     1.00000,     0.00000,     0.00000,
     1,     1,    25,   365,    10,   270.00616,     0.12146,    64.53579,     0.00000,   814.95452,     1.29072,     0.00000,    19.87694,    28.57245,    50.91091,     0.00000,     0.47621,     0.33941,     0.00000,    22.00000,   326.00000,   551.00000,     2.75000,    24.88550,    42.06107,     0.00000,     0.12721,     0.10837,     0.44186,     0.30316,     0.00000,     0.00000,     0.00000,     0.00000,    -0.10074,     0.00000,     0.00000,     0.10074,     0.00000,     0.00000,     0.00000,     0.00000,     1.00000,     0.00000,     0.00000,
