   pt,ijgcm,DOY,time,lat,lon,veg,Ts,litter_unprotect(LABILE),litter_unprotect(RECALCTRNT),litter_unprotect(DEADMICRB),litter_protect(LABILE),litter_protect(RECALCTRNT),litter_protect(DEADMICRB),litter_livingMicrobe,litter_CO2,soil_unprotect(1.LABILE),soil_unprotect(1.slow),soil_unprotect(1.DEADMICRB),soil_protect(1.LABILE),soil_protect(1.RECALCTRNT),soil_protect(1.DEADMICRB),soil_livingMicrobe,soil_CO2
     1,     1,   365, 23.0000, 40.8100,255.2400,    10,        271.589888,          2.000000,          2.000000,          0.100000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.115890,          3.081698,          0.040513,          0.360560,          0.152400,          1.339979,          0.020551,          5.638745,
     1,     1,   365, 24.0000, 40.8100,255.2400,    10,        271.239356,          2.000000,          2.000000,          0.100000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.083831,          3.083428,          0.044870,          0.368974,          0.159320,          1.379823,          0.038820,          5.937306,
     1,     1,   365, 25.0000, 40.8100,255.2400,    10,        270.006156,          2.000000,          2.000000,          0.100000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.105606,          3.135760,          0.042028,          0.377601,          0.166213,          1.425925,          0.038878,          6.177527,
     1,     1,   365, 26.0000, 40.8100,255.2400,    10,        275.302215,          2.000000,          2.000000,          0.100000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.104935,          3.160071,          0.044118,          0.384779,          0.173109,          1.471588,          0.031679,          6.452726,
     1,     1,   365, 27.0000, 40.8100,255.2400,    10,        272.596499,          2.000000,          2.000000,          0.100000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.124483,          3.183375,          0.045470,          0.391730,          0.179961,          1.515644,          0.024567,          6.733158,
     1,     1,   365, 28.0000, 40.8100,255.2400,    10,        274.164612,          2.000000,          2.000000,          0.100000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.118420,          3.249586,          0.044661,          0.407406,          0.186935,          1.559357,          0.042294,          6.931338,
     1,     1,   365, 29.0000, 40.8100,255.2400,    10,        274.401982,          2.000000,          2.000000,          0.100000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.140184,          3.300602,          0.047191,          0.417805,          0.193927,          1.608146,          0.021511,          7.143821,
     1,     1,   365, 30.0000, 40.8100,255.2400,    10,        274.768949,          2.000000,          2.000000,          0.100000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.149920,          3.359353,          0.049060,          0.430653,          0.200993,          1.655240,          0.024426,          7.371809,
     1,     1,   365, 31.0000, 40.8100,255.2400,    10,        274.095315,          2.000000,          2.000000,          0.100000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.120143,          3.409273,          0.045643,          0.449264,          0.208188,          1.700244,          0.044038,          7.560409,
     1,     1,   365, 32.0000, 40.8100,255.2400,    10,        273.421984,          2.000000,          2.000000,          0.100000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.125463,          3.456091,          0.044325,          0.461950,          0.215386,          1.746627,          0.031082,          7.729561,
     1,     1,   365, 33.0000, 40.8100,255.2400,    10,        272.829362,          2.000000,          2.000000,          0.100000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.094342,          3.476608,          0.042290,          0.474526,          0.222623,          1.787317,          0.033653,          7.899741,
     1,     1,   365, 34.0000, 40.8100,255.2400,    10,        272.454924,          2.000000,          2.000000,          0.100000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.111506,          3.502811,          0.038138,          0.483391,          0.229792,          1.823921,          0.020684,          8.029306,
     1,     1,   365, 35.0000, 40.8100,255.2400,    10,        274.331117,          2.000000,          2.000000,          0.100000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.130880,          3.541586,          0.038366,          0.495739,          0.236972,          1.854117,          0.020652,          8.155825,
     1,     1,   365, 36.0000, 40.8100,255.2400,    10,        271.246902,          2.000000,          2.000000,          0.100000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.145986,          3.586173,          0.036758,          0.511375,          0.244187,          1.884003,          0.018908,          8.255436,
     1,     1,   365, 37.0000, 40.8100,255.2400,    10,        275.271159,          2.000000,          2.000000,          0.100000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.136193,          3.608299,          0.037733,          0.526433,          0.251398,          1.912791,          0.015886,          8.361878,
     1,     1,   365, 38.0000, 40.8100,255.2400,    10,        275.062686,          2.000000,          2.000000,          0.100000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.116094,          3.621262,          0.038547,          0.538873,          0.258560,          1.940825,          0.021290,          8.489682,
     1,     1,   365, 39.0000, 40.8100,255.2400,    10,        274.106208,          2.000000,          2.000000,          0.100000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.070615,          3.585326,          0.043840,          0.546292,          0.265617,          1.971417,          0.038301,          8.741973,
     1,     1,   365, 40.0000, 40.8100,255.2400,    10,        274.559365,          2.000000,          2.000000,          0.100000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.121253,          3.629329,          0.040852,          0.553922,          0.272566,          2.008969,          0.019063,          8.877271,
     1,     1,   365, 41.0000, 40.8100,255.2400,    10,        272.791419,          2.000000,          2.000000,          0.100000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.098680,          3.635322,          0.045510,          0.561555,          0.279482,          2.042997,          0.034342,          9.116781,
     1,     1,   365, 42.0000, 40.8100,255.2400,    10,        271.874161,          2.000000,          2.000000,          0.100000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.101783,          3.662396,          0.045336,          0.568691,          0.286359,          2.084047,          0.038431,          9.354840,
     1,     1,   365, 43.0000, 40.8100,255.2400,    10,        271.589888,          2.000000,          2.000000,          0.100000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.122575,          3.676031,          0.047707,          0.573692,          0.293155,          2.125579,          0.021036,          9.602614,
