ijcam,lat,lon,ivt_igbp,ist,iso,landarea,Ndep,Nfix,Pwea, Pdust,doyP1,doyP2,doyP3,doyP4,Phase(1),ivcasa,ilat,ilo
   150,  10.42,   2.50,  8,-99,-99,    57603076096.0000, 0.26035, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  54,   2,
   151,  12.32,   2.50,  9,-99,-99,    57221304320.0000, 0.17785, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  55,   2,
   152,  14.21,   2.50, 10,-99,-99,    56776970240.0000, 0.10758, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  56,   2,
   153,  16.11,   2.50,  7,-99,-99,    56270544896.0000, 0.07255, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  57,   2,
   154,  18.00,   2.50, 16,-99,-99,    55702589440.0000, 0.03351, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  58,   2,
   155,  19.89,   2.50, 16,-99,-99,    55073726464.0000, 0.02303, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  59,   2,
   156,  21.79,   2.50, 16,-99,-99,    54384635904.0000, 0.01900, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  60,   2,
   157,  23.68,   2.50, 16,-99,-99,    53636083712.0000, 0.01694, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  61,   2,
   158,  25.58,   2.50, 16,-99,-99,    52828876800.0000, 0.01738, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  62,   2,
   159,  27.47,   2.50, 16,-99,-99,    51963904000.0000, 0.01922, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  63,   2,
   160,  29.37,   2.50, 16,-99,-99,    51042107392.0000, 0.02176, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  64,   2,
   161,  31.26,   2.50, 16,-99,-99,    50064498688.0000, 0.02287, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  65,   2,
   162,  33.16,   2.50, 16,-99,-99,    49032142848.0000, 0.03648, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  66,   2,
   163,  35.05,   2.50,  7,-99,-99,    47946174464.0000, 0.07039, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  67,   2,
   164,  36.95,   2.50, 17,-99,-99,    17466333184.0000, 0.07966, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  68,   2,
   166,  40.74,   2.50, 17,-99,-99,     6120720384.0000, 0.10188, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  70,   2,
   167,  42.63,   2.50, 14,-99,-99,    28362856448.0000, 0.23126, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  71,   2,
   168,  44.53,   2.50, 14,-99,-99,    41755623424.0000, 0.32902, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  72,   2,
   169,  46.42,   2.50, 14,-99,-99,    40374853632.0000, 0.39222, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  73,   2,
   170,  48.32,   2.50, 12,-99,-99,    38949937152.0000, 0.67323, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  74,   2,
   171,  50.21,   2.50, 12,-99,-99,    35230130176.0000, 0.61615, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  75,   2,
   172,  52.11,   2.50, 17,-99,-99,     4871818240.0000, 0.30410, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  76,   2,
   203, -71.05,   5.00, 15,-99,-99,    19017377792.0000, 0.00127, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  11,   3,
   204, -69.16,   5.00, 17,-99,-99,     2480204288.0000, 0.00242, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  12,   3,
   243,   4.74,   5.00, 17,-99,-99,    14389524480.0000, 0.28335, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  51,   3,
   244,   6.63,   5.00,  2,-99,-99,    47904157696.0000, 0.27071, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  52,   3,
   245,   8.53,   5.00,  8,-99,-99,    57921855488.0000, 0.24922, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  53,   3,
   246,  10.42,   5.00,  9,-99,-99,    57603076096.0000, 0.23617, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  54,   3,
   247,  12.32,   5.00,  9,-99,-99,    57221304320.0000, 0.16437, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  55,   3,
   248,  14.21,   5.00, 10,-99,-99,    56776970240.0000, 0.10691, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  56,   3,
   249,  16.11,   5.00, 10,-99,-99,    56270544896.0000, 0.07003, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  57,   3,
   250,  18.00,   5.00, 16,-99,-99,    55702589440.0000, 0.03158, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  58,   3,
   251,  19.89,   5.00, 16,-99,-99,    55073726464.0000, 0.02162, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  59,   3,
   252,  21.79,   5.00, 16,-99,-99,    54384635904.0000, 0.01863, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  60,   3,
   253,  23.68,   5.00, 16,-99,-99,    53636083712.0000, 0.01879, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  61,   3,
   254,  25.58,   5.00, 16,-99,-99,    52828876800.0000, 0.01896, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  62,   3,
   255,  27.47,   5.00, 16,-99,-99,    51963904000.0000, 0.01821, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  63,   3,
   256,  29.37,   5.00, 16,-99,-99,    51042107392.0000, 0.01958, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  64,   3,
   257,  31.26,   5.00, 16,-99,-99,    50064498688.0000, 0.02228, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  65,   3,
   258,  33.16,   5.00, 16,-99,-99,    49032142848.0000, 0.03009, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  66,   3,
