npt,ijgcm,iYrCnt,idoy,iveg,tsoilavg,moistavg,casapool%Cplant(LEAF),casapool%Cplant(WOOD),casapool%Cplant(FROOT),casapool%Nplant(LEAF),casapool%Nplant(WOOD),casapool%Nplant(FROOT),casapool%Clitter(MET),casapool%Clitter(STR),casapool%Clitter(CWD),casapool%Nlitter(MET),casapool%Nlitter(STR),casapool%Nlitter(CWD),casapool%Csoil(MIC),casapool%Csoil(SLOW),casapool%Csoil(PASS),casapool%Nsoil(MIC),casapool%Nsoil(SLOW),casapool%Nsoil(PASS),casaflux%Crsoil,cleaf2met,cleaf2str,croot2met,croot2str,cwd2str,cwd2co2,cwood2cwd,casaflux%cgpp,casaflux%cnpp,casaflux%crmplant(LEAF),casaflux%crmplant(WOOD),casaflux%crmplant(FROOT),casaflux%crgplant,phen%phase,casaflux%fracCalloc(LEAF),casaflux%fracCalloc(WOOD),casaflux%fracCalloc(FROOT),casapool%fT,casapool%fW
     1,     1,    11,   365,    10,   274.09532,     0.10330,    31.85268,     0.00000,   594.49157,     0.63705,     0.00000,    14.49979,   139.53696,   763.06736,     0.00000,     0.47621,     0.33941,     0.00000,   421.87183,  4523.09729,   664.19569,    52.73398,   345.27460,    50.70196,     0.00000,     0.06889,     0.04812,     0.32478,     0.21876,     0.00000,     0.00000,     0.00000,     0.00000,    -0.13752,     0.00000,     0.00000,     0.13752,     0.00000,     0.00000,     0.00000,     0.00000,     1.00000,     0.00000,     0.00000,
     1,     1,    12,   365,    10,   273.42199,     0.06285,    62.29982,     0.00000,   598.12024,     1.24600,     0.00000,    14.58830,   139.53696,   763.06736,     0.00000,     0.47621,     0.33941,     0.00000,   421.87183,  4523.09729,   664.19569,    52.73398,   345.27460,    50.70196,     0.00000,     0.13903,     0.09712,     0.32675,     0.22009,     0.00000,     0.00000,     0.00000,     0.00000,    -0.12575,     0.00000,     0.00000,     0.12575,     0.00000,     0.00000,     0.00000,     0.00000,     1.00000,     0.00000,     0.00000,
     1,     1,    13,   365,    10,   272.82936,     0.08518,    27.82598,     0.00000,   420.02976,     0.55652,     0.00000,    10.24463,   139.53696,   763.06736,     0.00000,     0.47621,     0.33941,     0.00000,   421.87183,  4523.09729,   664.19569,    52.73398,   345.27460,    50.70196,     0.00000,     0.06082,     0.04249,     0.22946,     0.15456,     0.00000,     0.00000,     0.00000,     0.00000,    -0.08099,     0.00000,     0.00000,     0.08099,     0.00000,     0.00000,     0.00000,     0.00000,     1.00000,     0.00000,     0.00000,
     1,     1,    14,   365,    10,   272.45493,     0.07730,    48.34868,     0.00000,   492.36333,     0.96697,     0.00000,    12.00886,   139.53696,   763.06736,     0.00000,     0.47621,     0.33941,     0.00000,   421.87183,  4523.09729,   664.19569,    52.73398,   345.27460,    50.70196,     0.00000,     0.10635,     0.07429,     0.26897,     0.18117,     0.00000,     0.00000,     0.00000,     0.00000,    -0.08979,     0.00000,     0.00000,     0.08979,     0.00000,     0.00000,     0.00000,     0.00000,     1.00000,     0.00000,     0.00000,
     1,     1,    15,   365,    10,   274.33112,     0.06899,    52.04984,     0.00000,   513.60598,     1.04100,     0.00000,    12.52698,   139.53696,   763.06736,     0.00000,     0.47621,     0.33941,     0.00000,   421.87183,  4523.09729,   664.19569,    52.73398,   345.27460,    50.70196,     0.00000,     0.09848,     0.06879,     0.28059,     0.18900,     0.00000,     0.00000,     0.00000,     0.00000,    -0.12278,     0.00000,     0.00000,     0.12278,     0.00000,     0.00000,     0.00000,     0.00000,     1.00000,     0.00000,     0.00000,
     1,     1,    16,   365,    10,   271.24690,     0.05498,    33.63992,     0.00000,   413.45932,     0.67280,     0.00000,    10.08437,   139.53696,   763.06736,     0.00000,     0.47621,     0.33941,     0.00000,   421.87183,  4523.09729,   664.19569,    52.73398,   345.27460,    50.70196,     0.00000,     0.07580,     0.05295,     0.22586,     0.15213,     0.00000,     0.00000,     0.00000,     0.00000,    -0.06258,     0.00000,     0.00000,     0.06258,     0.00000,     0.00000,     0.00000,     0.00000,     1.00000,     0.00000,     0.00000,
     1,     1,    17,   365,    10,   275.27116,     0.04844,    29.78142,     0.00000,   332.15972,     0.59563,     0.00000,     8.10146,   139.53696,   763.06736,     0.00000,     0.47621,     0.33941,     0.00000,   421.87183,  4523.09729,   664.19569,    52.73398,   345.27460,    50.70196,     0.00000,     0.05810,     0.04058,     0.18147,     0.12223,     0.00000,     0.00000,     0.00000,     0.00000,    -0.09022,     0.00000,     0.00000,     0.09022,     0.00000,     0.00000,     0.00000,     0.00000,     1.00000,     0.00000,     0.00000,
     1,     1,    18,   365,    10,   275.06269,     0.05861,    37.53348,     0.00000,   413.36491,     0.75067,     0.00000,    10.08207,   139.53696,   763.06736,     0.00000,     0.47621,     0.33941,     0.00000,   421.87183,  4523.09729,   664.19569,    52.73398,   345.27460,    50.70196,     0.00000,     0.07199,     0.05029,     0.22583,     0.15211,     0.00000,     0.00000,     0.00000,     0.00000,    -0.10919,     0.00000,     0.00000,     0.10919,     0.00000,     0.00000,     0.00000,     0.00000,     1.00000,     0.00000,     0.00000,
     1,     1,    19,   365,    10,   274.10621,     0.07849,    62.26015,     0.00000,   622.54378,     1.24520,     0.00000,    15.18399,   139.53696,   763.06736,     0.00000,     0.47621,     0.33941,     0.00000,   421.87183,  4523.09729,   664.19569,    52.73398,   345.27460,    50.70196,     0.00000,     0.13681,     0.09556,     0.34010,     0.22908,     0.00000,     0.00000,     0.00000,     0.00000,    -0.14423,     0.00000,     0.00000,     0.14423,     0.00000,     0.00000,     0.00000,     0.00000,     1.00000,     0.00000,     0.00000,
     1,     1,    20,   365,    10,   274.55937,     0.05650,    44.40602,     0.00000,   524.29775,     0.88812,     0.00000,    12.78775,   139.53696,   763.06736,     0.00000,     0.47621,     0.33941,     0.00000,   421.87183,  4523.09729,   664.19569,    52.73398,   345.27460,    50.70196,     0.00000,     0.09986,     0.06976,     0.28643,     0.19293,     0.00000,     0.00000,     0.00000,     0.00000,    -0.12934,     0.00000,     0.00000,     0.12934,     0.00000,     0.00000,     0.00000,     0.00000,     1.00000,     0.00000,     0.00000,
