   pt,ijgcm,DOY,time,lat,lon,veg,Ts,litter_unprotect(LABILE),litter_unprotect(RECALCTRNT),litter_unprotect(DEADMICRB),litter_protect(LABILE),litter_protect(RECALCTRNT),litter_protect(DEADMICRB),litter_livingMicrobe,litter_CO2,soil_unprotect(1.LABILE),soil_unprotect(1.slow),soil_unprotect(1.DEADMICRB),soil_protect(1.LABILE),soil_protect(1.RECALCTRNT),soil_protect(1.DEADMICRB),soil_livingMicrobe,soil_CO2
     1,     1,   365, 23.0000, 42.5400,287.8300,     4,        274.929059,          2.000000,          2.000000,          0.100000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.026568,          2.178419,          0.036243,          0.049136,          0.049595,          0.505375,          0.059260,         12.923211,
     1,     1,   365, 24.0000, 42.5400,287.8300,     4,        273.640321,          2.000000,          2.000000,          0.100000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.027317,          2.156399,          0.034253,          0.050136,          0.051486,          0.519081,          0.057289,         13.410975,
     1,     1,   365, 25.0000, 42.5400,287.8300,     4,        275.270937,          2.000000,          2.000000,          0.100000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.029140,          2.155010,          0.035704,          0.051261,          0.053339,          0.532555,          0.059707,         13.892908,
     1,     1,   365, 26.0000, 42.5400,287.8300,     4,        274.445311,          2.000000,          2.000000,          0.100000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.028623,          2.153581,          0.036288,          0.052396,          0.055164,          0.546556,          0.061271,         14.391342,
     1,     1,   365, 27.0000, 42.5400,287.8300,     4,        274.983527,          2.000000,          2.000000,          0.100000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.027633,          2.152487,          0.035887,          0.053481,          0.056967,          0.560559,          0.059560,         14.877439,
     1,     1,   365, 28.0000, 42.5400,287.8300,     4,        274.612808,          2.000000,          2.000000,          0.100000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.028921,          2.144582,          0.035765,          0.054516,          0.058739,          0.573826,          0.061089,         15.382446,
     1,     1,   365, 29.0000, 42.5400,287.8300,     4,        273.858426,          2.000000,          2.000000,          0.100000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.028252,          2.137077,          0.036249,          0.055563,          0.060480,          0.587242,          0.061191,         15.891983,
     1,     1,   365, 30.0000, 42.5400,287.8300,     4,        277.705101,          2.000000,          2.000000,          0.100000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.027496,          2.122489,          0.035861,          0.056558,          0.062185,          0.600408,          0.061363,         16.406104,
     1,     1,   365, 31.0000, 42.5400,287.8300,     4,        273.978318,          2.000000,          2.000000,          0.100000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.028300,          2.116041,          0.035833,          0.057543,          0.063855,          0.613392,          0.060635,         16.905450,
     1,     1,   365, 32.0000, 42.5400,287.8300,     4,        274.594264,          2.000000,          2.000000,          0.100000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.029542,          2.129020,          0.037069,          0.058626,          0.065506,          0.626564,          0.063565,         17.405339,
