npt,ijgcm,iYrCnt,idoy,iveg,tsoilavg,casapool%Cplant(LEAF),casapool%Cplant(WOOD),casapool%Cplant(FROOT),casapool%Nplant(LEAF),casapool%Nplant(WOOD),casapool%Nplant(FROOT),casapool%Clitter(MET),casapool%Clitter(STR),casapool%Clitter(CWD),casapool%Nlitter(MET),casapool%Nlitter(STR),casapool%Nlitter(CWD),casapool%Csoil(MIC),casapool%Csoil(SLOW),casapool%Csoil(PASS),casapool%Nsoil(MIC),casapool%Nsoil(SLOW),casapool%Nsoil(PASS),casaflux%Crsoil,cleaf2met,cleaf2str,croot2met,croot2str,cwd2str,cwd2co2,cwood2cwd,casaflux%cgpp,casaflux%cnpp,casaflux%crmplant(LEAF),casaflux%crmplant(WOOD),casaflux%crmplant(FROOT),casaflux%crgplant,phen%phase,casaflux%fracCalloc(LEAF),casaflux%fracCalloc(WOOD),casaflux%fracCalloc(FROOT),casapool%fT,casapool%fW
1,1,18,365,10,275.11698,33.99693,0,367.62035,0.67994,0,8.96635,72.47408,456.84651,0,0.47621,0.33941,0,260.93582,1100.82715,555.57097,2.75,24.8855,42.06107,0.24098,0.06981,0.05947,0.19935,0.13677,0,0,0,0,-0.09781,0,0,0.09781,0,0,0,0,1,0.26201,0.12385
1,1,19,365,10,274.17873,55.70748,0,531.27864,1.11415,0,12.95802,45.59475,383.44868,0,0.47621,0.33941,0,220.3975,1173.02089,556.20789,2.75,24.8855,42.06107,0.36426,0.11211,0.0955,0.28809,0.19766,0,0,0,0,-0.12434,0,0,0.12434,0,0,0,0,1,0.25223,0.24332
1,1,20,365,10,274.65033,40.36492,0,447.7609,0.8073,0,10.921,84.07268,403.76724,0,0.47621,0.33941,0,216.20694,1200.80781,556.47921,2.75,24.8855,42.06107,0.20628,0.08324,0.07091,0.2428,0.16659,0,0,0,0,-0.11184,0,0,0.11184,0,0,0,0,1,0.2571,0.10715
1,1,21,365,10,272.86724,67.74997,0,602.62945,1.355,0,14.69828,71.05476,384.4702,0,0.47621,0.33941,0,210.30425,1246.20555,556.943,2.75,24.8855,42.06107,0.57137,0.13501,0.115,0.32676,0.22419,0,0,0,0,-0.11686,0,0,0.11686,0,0,0,0,1,0.23917,0.34465
1,1,22,365,10,271.95911,60.45895,0,582.98656,1.20918,0,14.21918,76.48203,390.94467,0,0.47621,0.33941,0,213.4442,1284.00634,557.35173,2.75,24.8855,42.06107,1.13745,0.11884,0.10123,0.3161,0.21688,0,0,0,0,-0.09861,0,0,0.09861,0,0,0,0,1,0.23052,0.68134
1,1,23,365,10,271.69435,64.78035,0,556.05403,1.29561,0,13.56229,101.89259,400.14883,0,0.47621,0.33941,0,206.96699,1319.11594,557.7523,2.75,24.8855,42.06107,0.20049,0.1336,0.11381,0.3015,0.20686,0,0,0,0,-0.09028,0,0,0.09028,0,0,0,0,1,0.22806,0.10695
1,1,24,365,10,271.32786,68.85862,0,732.82381,1.37717,0,17.87375,68.11724,370.34282,0,0.47621,0.33941,0,203.94639,1368.01949,558.3342,2.75,24.8855,42.06107,0.54859,0.13709,0.11678,0.39734,0.27262,0,0,0,0,-0.11234,0,0,0.11234,0,0,0,0,1,0.2247,0.35636
1,1,25,365,10,270.0956,60.13461,0,681.85928,1.20269,0,16.63071,87.13894,390.39985,0,0.47621,0.33941,0,209.95494,1400.19373,558.75189,2.75,24.8855,42.06107,0.90932,0.11856,0.10099,0.3697,0.25365,0,0,0,0,-0.08556,0,0,0.08556,0,0,0,0,1,0.21374,0.54949
1,1,26,365,10,275.4132,56.91093,0,665.97849,1.13822,0,16.24338,89.48358,392.31252,0,0.47621,0.33941,0,210.60347,1435.74436,559.21787,2.75,24.8855,42.06107,1.15294,0.09524,0.08113,0.36114,0.24778,0,0,0,0,-0.18433,0,0,0.18433,0,0,0,0,1,0.26518,0.55102
1,1,27,365,10,272.69723,68.04636,0,751.02359,1.36093,0,18.31765,108.72872,399.56071,0,0.47621,0.33941,0,205.60739,1470.58762,559.70266,2.75,24.8855,42.06107,0.58445,0.13632,0.11612,0.40722,0.2794,0,0,0,0,-0.14201,0,0,0.14201,0,0,0,0,1,0.23752,0.28474
1,1,28,365,10,274.26855,43.89812,0,591.49739,0.87796,0,14.42677,88.2347,422.92494,0,0.47621,0.33941,0,234.92306,1497.83967,560.05799,2.75,24.8855,42.06107,1.00336,0.08676,0.0739,0.32074,0.22006,0,0,0,0,-0.14018,0,0,0.14018,0,0,0,0,1,0.25315,0.48469
1,1,29,365,10,274.501,66.64203,0,653.97185,1.33284,0,15.95053,119.59005,447.3639,0,0.47621,0.33941,0,234.60718,1527.5493,560.43886,2.75,24.8855,42.06107,0.20551,0.1185,0.10094,0.35462,0.24331,0,0,0,0,-0.16004,0,0,0.16004,0,0,0,0,1,0.25555,0.08486
1,1,30,365,10,274.86604,66.5167,0,697.64149,1.33033,0,17.01565,128.28703,472.28633,0,0.47621,0.33941,0,246.9962,1561.77044,560.8715,2.75,24.8855,42.06107,0.44135,0.11549,0.09838,0.37831,0.25956,0,0,0,0,-0.17945,0,0,0.17945,0,0,0,0,1,0.25936,0.16966
1,1,31,365,10,274.17473,30.82005,0,498.75183,0.6164,0,12.16468,88.37381,478.36744,0,0.47621,0.33941,0,272.87468,1594.9032,561.26594,2.75,24.8855,42.06107,0.9189,0.06112,0.05206,0.27045,0.18556,0,0,0,0,-0.11666,0,0,0.11666,0,0,0,0,1,0.25219,0.41667
1,1,32,365,10,273.51758,55.43819,0,508.03552,1.10876,0,12.39111,93.95653,486.60049,0,0.47621,0.33941,0,274.08803,1626.6148,561.64587,2.75,24.8855,42.06107,0.30515,0.11348,0.09667,0.27548,0.18901,0,0,0,0,-0.10829,0,0,0.10829,0,0,0,0,1,0.24556,0.13785
1,1,33,365,10,272.88055,24.39792,0,355.2929,0.48796,0,8.66568,64.48827,465.33053,0,0.47621,0.33941,0,272.89287,1661.2303,562.06774,2.75,24.8855,42.06107,0.50669,0.04895,0.0417,0.19265,0.13218,0,0,0,0,-0.06903,0,0,0.06903,0,0,0,0,1,0.2393,0.26983
1,1,34,365,10,272.53265,42.41458,0,419.26719,0.84829,0,10.22603,71.0362,450.55897,0,0.47621,0.33941,0,257.11333,1690.41331,562.45367,2.75,24.8855,42.06107,0.41467,0.08561,0.07292,0.22734,0.15598,0,0,0,0,-0.07736,0,0,0.07736,0,0,0,0,1,0.23594,0.22052
1,1,35,365,10,274.35508,58.73416,0,497.82917,1.17468,0,12.14217,94.31346,461.71965,0,0.47621,0.33941,0,252.02145,1714.95666,562.80197,2.75,24.8855,42.06107,0.38889,0.10193,0.08683,0.26995,0.18521,0,0,0,0,-0.1194,0,0,0.1194,0,0,0,0,1,0.25404,0.17207
1,1,36,365,10,271.30076,33.25054,0,390.44092,0.66501,0,9.52295,106.52976,485.37822,0,0.47621,0.33941,0,263.36513,1732.59714,563.05076,2.75,24.8855,42.06107,0.22009,0.06865,0.05848,0.2117,0.14525,0,0,0,0,-0.0596,0,0,0.0596,0,0,0,0,1,0.22445,0.10274
