npt,ijgcm,iYrCnt,idoy,iveg,tsoilavg,casapool%Cplant(LEAF),casapool%Cplant(WOOD),casapool%Cplant(FROOT),casapool%Nplant(LEAF),casapool%Nplant(WOOD),casapool%Nplant(FROOT),casapool%Clitter(MET),casapool%Clitter(STR),casapool%Clitter(CWD),casapool%Nlitter(MET),casapool%Nlitter(STR),casapool%Nlitter(CWD),casapool%Csoil(MIC),casapool%Csoil(SLOW),casapool%Csoil(PASS),casapool%Nsoil(MIC),casapool%Nsoil(SLOW),casapool%Nsoil(PASS),casaflux%Crsoil,cleaf2met,cleaf2str,croot2met,croot2str,cwd2str,cwd2co2,cwood2cwd,casaflux%cgpp,casaflux%cnpp,casaflux%crmplant(LEAF),casaflux%crmplant(WOOD),casaflux%crmplant(FROOT),casaflux%crgplant,phen%phase,casaflux%fracCalloc(LEAF),casaflux%fracCalloc(WOOD),casaflux%fracCalloc(FROOT),casapool%fT,casapool%fW
     1,     1,    31,   365,    10,   274.17473,    30.82005,     0.00000,   498.75185,     0.61640,     0.00000,    12.16468,    88.37382,   478.46484,     0.00000,     0.47621,     0.33941,     0.00000,   272.92259,  2495.70715,   650.63062,    27.18406,   194.45409,    48.59094,     1.02264,     0.06112,     0.05206,     0.27045,     0.18556,     0.00000,     0.00000,     0.00000,     0.00000,    -0.11666,     0.00000,     0.00000,     0.11666,     0.00000,     0.00000,     0.00000,     0.00000,     1.00000,     0.25219,     0.41667,
     1,     1,    32,   365,    10,   273.51758,    55.43819,     0.00000,   508.03553,     1.10876,     0.00000,    12.39111,    93.95653,   486.68094,     0.00000,     0.47621,     0.33941,     0.00000,   274.12759,  2506.30676,   651.02641,    27.18406,   194.45409,    48.59094,     0.33778,     0.11348,     0.09667,     0.27548,     0.18901,     0.00000,     0.00000,     0.00000,     0.00000,    -0.10829,     0.00000,     0.00000,     0.10829,     0.00000,     0.00000,     0.00000,     0.00000,     1.00000,     0.24556,     0.13785,
     1,     1,    33,   365,    10,   272.88055,    24.39792,     0.00000,   355.29291,     0.48796,     0.00000,     8.66568,    64.48828,   465.39584,     0.00000,     0.47621,     0.33941,     0.00000,   272.92499,  2518.44448,   651.46450,    27.18406,   194.45409,    48.59094,     0.56734,     0.04895,     0.04170,     0.19265,     0.13218,     0.00000,     0.00000,     0.00000,     0.00000,    -0.06903,     0.00000,     0.00000,     0.06903,     0.00000,     0.00000,     0.00000,     0.00000,     1.00000,     0.23930,     0.26983,
     1,     1,    34,   365,    10,   272.53265,    42.41458,     0.00000,   419.26719,     0.84829,     0.00000,    10.22603,    71.03620,   450.61244,     0.00000,     0.47621,     0.33941,     0.00000,   257.13962,  2526.60480,   651.86496,    27.18406,   194.45409,    48.59094,     0.46234,     0.08561,     0.07292,     0.22734,     0.15598,     0.00000,     0.00000,     0.00000,     0.00000,    -0.07736,     0.00000,     0.00000,     0.07736,     0.00000,     0.00000,     0.00000,     0.00000,     1.00000,     0.23594,     0.22052,
     1,     1,    35,   365,    10,   274.35508,    58.73416,     0.00000,   497.82917,     1.17468,     0.00000,    12.14217,    94.31346,   461.76393,     0.00000,     0.47621,     0.33941,     0.00000,   252.04322,  2531.81389,   652.22606,    27.18406,   194.45409,    48.59094,     0.42801,     0.10193,     0.08683,     0.26995,     0.18521,     0.00000,     0.00000,     0.00000,     0.00000,    -0.11940,     0.00000,     0.00000,     0.11940,     0.00000,     0.00000,     0.00000,     0.00000,     1.00000,     0.25404,     0.17207,
     1,     1,    36,   365,    10,   271.30076,    33.25054,     0.00000,   390.44092,     0.66501,     0.00000,     9.52295,   106.52976,   485.41701,     0.00000,     0.47621,     0.33941,     0.00000,   263.38420,  2536.14258,   652.48332,    27.18406,   194.45409,    48.59094,     0.24039,     0.06865,     0.05848,     0.21170,     0.14525,     0.00000,     0.00000,     0.00000,     0.00000,    -0.05960,     0.00000,     0.00000,     0.05960,     0.00000,     0.00000,     0.00000,     0.00000,     1.00000,     0.22445,     0.10274,
     1,     1,    37,   365,    10,   275.31328,    28.09982,     0.00000,   312.04493,     0.56200,     0.00000,     7.61085,    96.80326,   484.79871,     0.00000,     0.47621,     0.33941,     0.00000,   268.17275,  2542.36915,   652.76826,    27.18406,   194.45409,    48.59094,     0.20236,     0.05852,     0.04985,     0.16921,     0.11610,     0.00000,     0.00000,     0.00000,     0.00000,    -0.08523,     0.00000,     0.00000,     0.08523,     0.00000,     0.00000,     0.00000,     0.00000,     1.00000,     0.26410,     0.07595,
     1,     1,    38,   365,    10,   275.11698,    33.99667,     0.00000,   367.63213,     0.67993,     0.00000,     8.96664,    72.47674,   461.40192,     0.00000,     0.47621,     0.33941,     0.00000,   263.22140,  2550.70471,   653.16171,    27.18406,   194.45409,    48.59094,     0.29356,     0.06981,     0.05947,     0.19936,     0.13678,     0.00000,     0.00000,     0.00000,     0.00000,    -0.09782,     0.00000,     0.00000,     0.09782,     0.00000,     0.00000,     0.00000,     0.00000,     1.00000,     0.26201,     0.12385,
     1,     1,    39,   365,    10,   274.17873,    55.70729,     0.00000,   531.28572,     1.11415,     0.00000,    12.95819,    45.59529,   386.53256,     0.00000,     0.47621,     0.33941,     0.00000,   221.93667,  2555.30543,   653.88061,    27.18406,   194.45409,    48.59094,     0.45851,     0.11211,     0.09550,     0.28809,     0.19766,     0.00000,     0.00000,     0.00000,     0.00000,    -0.12434,     0.00000,     0.00000,     0.12434,     0.00000,     0.00000,     0.00000,     0.00000,     1.00000,     0.25223,     0.24332,
     1,     1,    40,   365,    10,   274.65033,    40.36482,     0.00000,   447.76504,     0.80730,     0.00000,    10.92110,    84.07333,   406.30854,     0.00000,     0.47621,     0.33941,     0.00000,   217.47246,  2550.60418,   654.18954,    27.18406,   194.45409,    48.59094,     0.24750,     0.08324,     0.07091,     0.24280,     0.16659,     0.00000,     0.00000,     0.00000,     0.00000,    -0.11185,     0.00000,     0.00000,     0.11185,     0.00000,     0.00000,     0.00000,     0.00000,     1.00000,     0.25710,     0.10715,
