npt,ijgcm,iYrCnt,idoy,iveg,tsoilavg,moistavg,casapool%Cplant(LEAF),casapool%Cplant(WOOD),casapool%Cplant(FROOT),casapool%Nplant(LEAF),casapool%Nplant(WOOD),casapool%Nplant(FROOT),casapool%Clitter(MET),casapool%Clitter(STR),casapool%Clitter(CWD),casapool%Nlitter(MET),casapool%Nlitter(STR),casapool%Nlitter(CWD),casapool%Csoil(MIC),casapool%Csoil(SLOW),casapool%Csoil(PASS),casapool%Nsoil(MIC),casapool%Nsoil(SLOW),casapool%Nsoil(PASS),casaflux%Crsoil,cleaf2met,cleaf2str,croot2met,croot2str,cwd2str,cwd2co2,cwood2cwd,casaflux%cgpp,casaflux%cnpp,casaflux%crmplant(LEAF),casaflux%crmplant(WOOD),casaflux%crmplant(FROOT),casaflux%crgplant,phen%phase,casaflux%fracCalloc(LEAF),casaflux%fracCalloc(WOOD),casaflux%fracCalloc(FROOT),casapool%fT,casapool%fW
     1,     1,    11,   365,     4,   274.44531,     0.15940,   109.08237,  4583.29948,  2860.92985,     2.18165,    26.19028,    69.77878,    47.33093,   466.91480,   494.13710,     0.13722,     2.08366,     6.58200,   188.54799,  5180.35931,  4548.18896,    23.56850,   172.67864,   151.60630,     0.00000,     0.23387,     0.19922,     0.43720,     0.34695,     0.13093,     0.12086,     0.31395,     0.00000,    -0.54290,     0.00000,     0.12634,     0.41657,     0.00000,     0.00000,     0.00000,     0.23271,     0.76729,     0.00000,     0.00000,
     1,     1,    12,   365,     4,   274.98352,     0.15940,    96.91769,  4578.98735,  2865.10594,     1.93835,    26.16564,    69.88063,    47.33093,   466.91480,   494.77442,     0.13722,     2.08366,     6.58200,   188.54799,  5180.35931,  4548.18896,    23.56850,   172.67864,   151.60630,     0.00000,     0.20779,     0.17700,     0.43784,     0.34746,     0.13399,     0.12369,     0.31366,     0.00000,    -0.61848,     0.00000,     0.16955,     0.44893,     0.00000,     0.00000,     0.00000,     0.27414,     0.72586,     0.00000,     0.00000,
     1,     1,    13,   365,     4,   274.61281,     0.15893,   109.31927,  4607.05438,  2938.09130,     2.18639,    26.32603,    71.66076,    47.33093,   466.91480,   489.62125,     0.13722,     2.08366,     6.58200,   188.54799,  5180.35931,  4548.18896,    23.56850,   172.67864,   151.60630,     0.00000,     0.23437,     0.19965,     0.44899,     0.35630,     0.13000,     0.12000,     0.31558,     0.00000,    -0.56382,     0.00000,     0.12606,     0.43776,     0.00000,     0.00000,     0.00000,     0.22359,     0.77641,     0.00000,     0.00000,
     1,     1,    14,   365,     4,   273.85842,     0.15940,   104.47428,  4599.81595,  2910.90775,     2.08949,    26.28466,    70.99775,    47.33093,   466.91480,   486.14987,     0.13722,     2.08366,     6.58200,   188.54799,  5180.35931,  4548.18896,    23.56850,   172.67864,   151.60630,     0.00000,     0.22399,     0.19080,     0.44483,     0.35300,     0.12578,     0.11611,     0.31508,     0.00000,    -0.44870,     0.00000,     0.05819,     0.39051,     0.00000,     0.00000,     0.00000,     0.12968,     0.87032,     0.00000,     0.00000,
     1,     1,    15,   365,     4,   277.70510,     0.15841,   106.75602,  4587.97825,  2881.21182,     2.13512,    26.21702,    70.27346,    47.33093,   466.91480,   480.93553,     0.13722,     2.08366,     6.58200,   188.54799,  5180.35931,  4548.18896,    23.56850,   172.67864,   151.60630,     0.00000,     0.22888,     0.19497,     0.44033,     0.34943,     0.14398,     0.13290,     0.31427,     0.00000,    -0.74264,     0.00000,     0.10389,     0.63875,     0.00000,     0.00000,     0.00000,     0.13989,     0.86011,     0.00000,     0.00000,
     1,     1,    16,   365,     4,   273.97832,     0.15877,   105.75402,  4607.36772,  2933.00085,     2.11508,    26.32782,    71.53661,    47.33093,   466.91480,   479.98350,     0.13722,     2.08366,     6.58200,   188.54799,  5180.35931,  4548.18896,    23.56850,   172.67864,   151.60630,     0.00000,     0.22673,     0.19314,     0.44821,     0.35568,     0.12399,     0.11445,     0.31560,     0.00000,    -0.52905,     0.00000,     0.12888,     0.40018,     0.00000,     0.00000,     0.00000,     0.24360,     0.75640,     0.00000,     0.00000,
     1,     1,    17,   365,     4,   274.59426,     0.15922,   116.99209,  4617.19467,  2951.46727,     2.33984,    26.38397,    71.98701,    47.33093,   466.91480,   482.38976,     0.13722,     2.08366,     6.58200,   188.54799,  5180.35931,  4548.18896,    23.56850,   172.67864,   151.60630,     0.00000,     0.32224,     0.27450,     0.45104,     0.35793,     0.12835,     0.11847,     0.31627,     0.00000,    -0.46208,     0.00000,     0.02344,     0.43864,     0.00000,     0.00000,     0.00000,     0.05073,     0.94927,     0.00000,     0.00000,
     1,     1,    18,   365,     4,   274.87495,     0.15940,   117.96081,  4634.65724,  2991.60373,     2.35922,    26.48376,    72.96594,    47.33093,   466.91480,   483.42915,     0.13722,     2.08366,     6.58200,   188.54799,  5180.35931,  4548.18896,    23.56850,   172.67864,   151.60630,     0.00000,     0.25436,     0.21668,     0.45717,     0.36280,     0.13034,     0.12031,     0.31747,     0.00000,    -0.50824,     0.00000,     0.04631,     0.46192,     0.00000,     0.00000,     0.00000,     0.09112,     0.90888,     0.00000,     0.00000,
     1,     1,    19,   365,     4,   273.63169,     0.15942,   101.82160,  4620.36182,  2941.85273,     2.03643,    26.40207,    71.75251,    47.33093,   466.91480,   491.47940,     0.13722,     2.08366,     6.58200,   188.54799,  5180.35931,  4548.18896,    23.56850,   172.67864,   151.60630,     0.00000,     0.21830,     0.18596,     0.44956,     0.35675,     0.12602,     0.11632,     0.31649,     0.00000,    -0.52109,     0.00000,     0.13894,     0.38215,     0.00000,     0.00000,     0.00000,     0.26663,     0.73337,     0.00000,     0.00000,
     1,     1,    20,   365,     4,   273.44274,     0.15941,   104.56061,  4611.29053,  2922.77340,     2.09121,    26.35023,    71.28716,    47.33093,   466.91480,   493.10556,     0.13722,     2.08366,     6.58200,   188.54799,  5180.35931,  4548.18896,    23.56850,   172.67864,   151.60630,     0.00000,     0.22417,     0.19096,     0.44664,     0.35444,     0.12546,     0.11581,     0.31587,     0.00000,    -0.47395,     0.00000,     0.10442,     0.36953,     0.00000,     0.00000,     0.00000,     0.22031,     0.77969,     0.00000,     0.00000,
     1,     1,    21,   365,     4,   274.11712,     0.15940,    97.22166,  4617.39262,  2942.10360,     1.94443,    26.38510,    71.75862,    47.33093,   466.91480,   497.55789,     0.13722,     2.08366,     6.58200,   188.54799,  5180.35931,  4548.18896,    23.56850,   172.67864,   151.60630,     0.00000,     0.20844,     0.17756,     0.44960,     0.35679,     0.13009,     0.12009,     0.31629,     0.00000,    -0.47556,     0.00000,     0.06625,     0.40931,     0.00000,     0.00000,     0.00000,     0.13931,     0.86069,     0.00000,     0.00000,
     1,     1,    22,   365,     4,   274.92621,     0.15895,    99.38029,  4592.02877,  2876.49797,     1.98761,    26.24016,    70.15849,    47.33093,   466.91480,   504.04787,     0.13722,     2.08366,     6.58200,   188.54799,  5180.35931,  4548.18896,    23.56850,   172.67864,   151.60630,     0.00000,     0.24912,     0.21222,     0.43958,     0.34884,     0.13556,     0.12513,     0.31455,     0.00000,    -0.47455,     0.00000,     0.02730,     0.44724,     0.00000,     0.00000,     0.00000,     0.05754,     0.94246,     0.00000,     0.00000,
