time,aglivc,bglivcj,bglivcm,som2c(1),som3c,somsc,somtc,

1918.50,71.3937,91.5888,102.2272,20.6228,554.1885,926.9078,1068.5074
1918.58,28.5375,99.9807,106.3898,20.9363,554.1860,923.7244,1060.6915
1918.67,32.0143,103.1155,110.7305,21.2000,554.1837,923.8077,1064.5417
1918.75,0.3252,101.8596,112.2336,21.5095,554.1791,924.2061,1065.1710
1918.83,0.2988,97.7975,112.1550,21.6354,554.1788,924.6125,1068.7589
1918.92,0.2745,93.8681,110.8085,21.6729,554.1781,924.7880,1073.8138
1919.00,0.2535,89.3994,109.1997,21.7054,554.1775,925.0467,1079.5387
1919.08,0.2359,85.1296,107.6091,21.7703,554.1770,925.3444,1084.9171
1919.17,0.2192,81.0635,106.0416,21.8926,554.1763,925.7655,1089.9535
1919.25,0.2024,77.5566,104.6512,22.0654,554.1757,926.3782,1094.0421
1919.33,5.8218,77.1805,104.0460,22.4502,554.1755,929.1456,1090.0765
1919.42,32.3167,85.1893,104.8401,22.5274,554.1760,930.0822,1092.0856
1919.50,39.7617,85.7319,107.2285,22.3764,554.1766,931.6359,1096.0504
1919.58,18.3246,93.1690,112.0885,22.1171,554.1886,933.8300,1085.9344
1919.67,21.9929,96.2945,116.7456,22.0384,554.1895,934.5174,1092.3715
1919.75,0.2972,93.4449,119.2320,21.7321,554.2011,934.2437,1083.1576
1919.83,0.2777,90.1018,118.5084,21.6546,554.2044,933.1458,1081.8885
1919.92,0.2560,86.6400,117.1303,21.6324,554.2056,933.2015,1086.1693
1920.00,0.2397,82.5343,115.4377,21.6026,554.2056,933.4178,1091.3691
1920.08,0.2271,78.5925,113.7562,21.6065,554.2062,933.7243,1095.5784
1920.17,0.2102,74.8419,112.1006,21.6328,554.2061,933.9265,1100.3698
1920.25,0.1952,71.6956,110.6710,21.6950,554.2062,934.5006,1103.8308
1920.33,2.0665,69.9152,109.5943,21.7035,554.2120,936.2429,1098.6022
1920.42,27.1457,77.3811,109.9046,21.5216,554.2177,936.7457,1095.7983
1920.50,64.1782,88.6764,112.2514,20.7582,554.2317,936.2408,1086.6898
1920.58,27.2961,97.8217,116.2426,20.7480,554.2375,934.6509,1084.1393
1920.67,28.6500,99.0491,119.7952,20.8797,554.2390,935.4120,1086.9039
1920.75,0.2681,93.9677,121.5257,21.0752,554.2397,936.3263,1090.5067
1920.83,0.2457,90.1173,121.2845,21.1566,554.2393,936.8791,1094.4148
